(dollar sign)	[(dollar sign), $]
conversely	[conversely, linverse]
investment	[investment, linvestissement]
linear	[linear, linéaire]
lion	[lion, lion]
lionel	[lionel, lionel]
liphone	[liphone, liphone]
the iphone	[the iphone, liphone]
liquid	[liquid, liquide]
irak	[irak, lirak]
lirak	[lirak, lirak]
liran	[liran, liran]
read	[read, lire, lu, lu, lue, lue, lus, lus]
to read	[to read, lire]
irelands	[irelands, lirlande]
the mri	[the mri, lirm]
lisa	[lisa, lisa]
lisboa	[lisboa, lisbonne]
lisbon	[lisbon, lisbonne]
bindweed	[bindweed, liseron]
(botanical word)	[(botanical word), liseron]
morning-glory	[morning-glory, liseron]
convulvulus	[convulvulus, liseron]
(uncommon plant type)	[(uncommon plant type), liseron]
liserson	[liserson, liseron]
buckwheat	[buckwheat, liseron]
field bindweed	[field bindweed, liseron]
mastoiditis	[mastoiditis, liseron, mastoïdite, mastoïdite]
convolvulus	[convolvulus, liseron]
lislam	[lislam, lislam]
the islam	[the islam, lislam]
island	[island, lislande, lîle, lîle, île, île]
iceland	[iceland, lislande]
lisle	[lisle, lisle]
lissue	[lissue, lissue]
list	[list, liste]
lists	[lists, listes]
liszt	[liszt, liszt]
reads	[reads, lit]
italia	[italia, litalie]
little	[little, little, petit, petit, peu, peu]
littoral	[littoral, littoral]
shoreline	[shoreline, littoral]
literary	[literary, littéraire, littéraires, littéraires]
literally	[literally, littéralement]
literaly	[literaly, littéralement]
literature	[literature, littérature]
liverpool	[liverpool, liverpool]
delivered	[delivered, livré]
liege	[liege, liège]
cork	[cork, liège]
bound	[bound, liée]
relevant	[relevant, liés]
lloyd	[lloyd, lloyd]
goal	[goal, lobjectif, objectif, objectif]
the goal	[the goal, lobjectif]
the object	[the object, lobjet]
object	[object, lobjet, objet, objet]
the obligation	[the obligation, lobligation]
obligation	[obligation, lobligation]
observation	[observation, lobservation, observation, observation, remarque, remarque]
the observatory	[the observatory, lobservatoire]
obesity	[obesity, lobésité]
the obesity	[the obesity, lobésité]
local	[local, local, locale, locale, locales, locales]
locally	[locally, localement]
local (plurel)	[local (plurel), locales]
premises	[premises, locaux]
the occasion	[the occasion, loccasion]
west	[west, loccident, louest, louest, occident, occident, ouest, ouest, west, west]
the west	[the west, loccident, louest, louest]
loccupation	[loccupation, loccupation]
the occupation	[the occupation, loccupation]
occurence	[occurence, loccurrence]
locke (name)	[locke (name), locke]
lock	[lock, locke]
locke	[locke, locke]
orators	[orators, locuteurs]
speakers	[speakers, locuteurs]
the ocean	[the ocean, locéan]
the odyssey	[the odyssey, lodyssée]
odyssey	[odyssey, lodyssée]
the offensive	[the offensive, loffensive]
the office	[the office, loffice]
the offer	[the offer, loffre]
lodge	[lodge, loge]
(different meanings in same sentence!)	[(different meanings in same sentence!), loge]
lodging	[lodging, logement]
housing     but accomodation for the las sentence	[housing     but accomodation for the las sentence, logements]
lodges	[lodges, loges]
softwares	[softwares, logiciels]
logic	[logic, logique]
rationally	[rationally, logiquement]
logically	[logically, logiquement]
logistic	[logistic, logistique]
logo	[logo, logo]
far	[far, loin]
distant	[distant, loin, éloigné, éloigné]
loire	[loire, loire]
laws	[laws, lois]
recreation	[recreation, loisir]
pass-times	[pass-times, loisir]
leasure	[leasure, loisir, loisirs, loisirs]
hobbies	[hobbies, loisir]
leisure/hobby	[leisure/hobby, loisir]
leisure	[leisure, loisir, loisirs, loisirs]
downtime	[downtime, loisir]
hobby	[hobby, loisir]
spare time	[spare time, loisir]
. leisure	[. leisure, loisir]
leisures	[leisures, loisirs]
lol	[lol, lol]
he olympia	[he olympia, lolympia]
the olympia	[the olympia, lolympia]
lolympique	[lolympique, lolympique]
the marseille olympic team	[the marseille olympic team, lom]
the shadow	[the shadow, lombre]
shade	[shade, lombre]
the world health organisation	[the world health organisation, loms]
who	[who, loms, qui, qui, who, who]
london	[london, london, londres, londres]
for a long time	[for a long time, longtemps]
length	[length, longueur]
longs	[longs, longueurs]
lenght	[lenght, longueurs]
longevity	[longevity, longévité]
have it	[have it, lont]
un	[un, lonu]
lonu	[lonu, lonu]
look	[look, look, regard, regard]
lopen	[lopen, lopen]
open	[open, lopen, open, open, ouvert, ouvert, ouverte, ouverte, ouvertes, ouvertes, ouverts, ouverts, ouvre, ouvre, ouvrier, ouvrier, ouvrir, ouvrir]
the opinion	[the opinion, lopinion]
the opposition	[the opposition, lopposition]
the opera	[the opera, lopéra]
the operation	[the operation, lopération]
lor	[lor, lor]
orchestre	[orchestre, lorchestre]
orchestra	[orchestra, lorchestre, orchestre, orchestre]
lord	[lord, lord, seigneur, seigneur]
seigneur	[seigneur, lord]
the computer	[the computer, lordinateur]
computer	[computer, lordinateur, ordinateur, ordinateur]
the order	[the order, lordre]
the organ	[the organ, lorgane]
organ	[organ, lorgane, organe, organe]
the organisation	[the organisation, lorganisation]
the organization	[the organization, lorganisation]
two words -> the organism	[two words -> the organism, lorganisme]
the body	[the body, lorganisme]
orgasm	[orgasm, lorgasme]
the orient	[the orient, lorient]
orientation	[orientation, lorientation]
origin	[origin, lorigine, origine, origine, origines, origines, provenance, provenance]
the origin	[the origin, lorigine]
lorraine	[lorraine, lorraine]
when	[when, lors, lorsque, lorsque, lorsquune, lorsquune, quand, quand]
lorsquelle	[lorsquelle, lorsquelle]
when she	[when she, lorsquelle]
when it	[when it, lorsquil]
when he	[when he, lorsquil]
when they	[when they, lorsquils]
when one	[when one, lorsquon]
when we	[when we, lorsquon]
when a	[when a, lorsquun, lorsquune, lorsquune]
spelling of	[spelling of, lorthographe]
spelling	[spelling, lorthographe]
the spelling	[the spelling, lorthographe]
los	[los, los]
the oscar	[the oscar, loscar]
lost	[lost, lost, perdu, perdu, perdue, perdue, perdues, perdues, perdus, perdus]
batch	[batch, lot]
lot	[lot, lot, énormément, énormément]
lotan	[lotan, lotan]
nato	[nato, lotan]
lou	[lou, lou]
louis	[louis, louis]
louise	[louise, louise]
louisiana	[louisiana, louisiane]
louis-napoléon	[louis-napoléon, louisnapoléon]
wolf	[wolf, loup]
wolves	[wolves, loups]
the opening	[the opening, louverture]
the work	[the work, louvrage]
the book	[the book, louvrage]
louvre	[louvre, louvre]
the oxygen	[the oxygen, loxygène]
oxygen	[oxygen, loxygène]
luc	[luc, luc]
lucas	[lucas, lucas]
lucien	[lucien, lucien]
lucy	[lucy, lucy]
ludwig	[ludwig, ludwig]
red	[red, lue, red, red, rouge, rouge, rouges, rouges, roux, roux]
l'uefa	[l'uefa, luefa]
uefa ( european footbal legue )	[uefa ( european footbal legue ), luefa]
him	[him, lui]
himself	[himself, luimême]
luis	[luis, luis]
lukraine	[lukraine, lukraine]
the ukraine	[the ukraine, lukraine]
lights	[lights, lumières]
one	[one, lun, lune, lune, un, un, une, une, unes, unes, uns, uns]
one of (as in one of his concert)	[one of (as in one of his concert), lun]
lunar	[lunar, lunaire]
unanimously	[unanimously, lunanimité]
unanimity	[unanimity, lunanimité]
the undertaker	[the undertaker, lundertaker]
monday	[monday, lundi, monday, monday]
moon	[moon, lune, moon, moon]
unesco	[unesco, lunesco]
the unesco	[the unesco, lunesco]
unescos	[unescos, lunesco]
the unification	[the unification, lunification]
the only	[the only, lunique, seule, seule]
unit	[unit, lunité, unité, unité]
the universe	[the universe, lunivers]
the university	[the university, luniversité]
lupus	[lupus, lupus]
the ussr	[the ussr, lurss]
ussr	[ussr, lurss, urss, urss]
the uruguay	[the uruguay, luruguay]
uruguay	[uruguay, luruguay]
us	[us, lus, us, us]
the usage	[the usage, lusage]
luther	[luther, luther]
the user	[the user, lutilisateur]
luxury	[luxury, luxe]
luxembourg	[luxembourg, luxembourg]
lyceum	[lyceum, lycée]
high school	[high school, lycée]
high-school	[high-school, lycées]
high schools	[high schools, lycées]
lymphocytes)	[lymphocytes), lymphocytes]
lynette	[lynette, lynette]
lyon	[lyon, lyon]
lyons	[lyons, lyonnais]
from lyon	[from lyon, lyonnais]
lyonnaise	[lyonnaise, lyonnaise]
lyric	[lyric, lyrique]
lyrical	[lyrical, lyrique]
lily	[lily, lys]
the age	[the age, lâge]
soul	[soul, lâme, âme, âme]
the soul	[the soul, lâme]
the era	[the era, lère]
era	[era, lère, ère, ère, époques, époques]
lips	[lips, lèvres]
aside	[aside, lécart, marge, marge]
gap	[gap, lécart]
the exchange	[the exchange, léchange]
lechange	[lechange, léchange]
failure	[failure, léchec, panne, panne, échec, échec]
the failure	[the failure, léchec]
the scale	[the scale, léchelle]
the school	[the school, lécole]
the economy	[the economy, léconomie]
scotland	[scotland, lécosse, écosse, écosse]
screen	[screen, lécran, screen, screen, écran, écran]
the screen	[the screen, lécran]
lecrit	[lecrit, lécrit]
the writing	[the writing, lécriture]
the writer	[the writer, lécrivain]
the building	[the building, lédifice]
publisher	[publisher, léditeur]
the publisher	[the publisher, léditeur]
the editor	[the editor, léditeur]
the edition	[the edition, lédition]
publishing	[publishing, lédition, parution, parution]
education provision	[education provision, léducation]
legally	[legally, légalement, légalité, légalité]
legality	[legality, légalité]
with regard to	[with regard to, légard]
legendary	[legendary, légendaire]
legend	[legend, légende]
legends	[legends, légendes]
legion	[legion, légion]
legions	[legions, légions]
legislative	[legislative, législatif, législative, législative, législatives, législatives]
legislature	[legislature, législatif]
legislation	[legislation, législation, législations, législations]
legislations	[legislations, législations]
legitimate	[legitimate, légitime]
legitimacy	[legitimacy, légitimité]
legitimity	[legitimity, légitimité]
the church	[the church, léglise]
leglise	[leglise, léglise]
church	[church, léglise, notredame, notredame, église, église]
vegetables	[vegetables, légumes]
slight	[slight, légère]
slightly	[slightly, légèrement]
design development	[design development, lélaboration]
election	[election, lélection, élection, élection]
the election	[the election, lélection]
the electricity	[the electricity, lélectricité]
the livestock	[the livestock, lélevage]
breeding	[breeding, lélevage]
lelimination	[lelimination, lélimination]
the elite	[the elite, lélite]
the elysee	[the elysee, lélysée]
élysée	[élysée, lélysée]
element	[element, lélément, élément, élément]
the emergence	[the emergence, lémergence]
the show	[the show, lémission]
the program	[the program, lémission]
the energy	[the energy, lénergie]
lenin	[lenin, lénine]
lenine	[lenine, lénine]
wind power	[wind power, léolien]
wind-driven	[wind-driven, léolien]
léon	[léon, léon]
leon	[leon, léon]
leopold	[leopold, léopold]
léopold	[léopold, léopold]
episode	[episode, lépisode, épisode, épisode]
epic	[epic, lépopée]
the epic	[the epic, lépopée]
the epoch (a l'epoque = at the time)	[the epoch (a l'epoque = at the time), lépoque]
that time	[that time, lépoque]
lepouse	[lepouse, lépouse]
test	[test, lépreuve, test, test, épreuve, épreuve]
sword	[sword, lépée]
equator	[equator, léquateur]
the equator	[the equator, léquateur]
ecuador	[ecuador, léquateur]
equilibrium	[equilibrium, léquilibre]
the team	[the team, léquipe]
team the	[team the, léquipe]
equipment	[equipment, léquipement]
equivalent	[equivalent, léquivalent, équivalent, équivalent, équivalente, équivalente]
the equivalent	[the equivalent, léquivalent]
lesions	[lesions, lésions]
founding (for the first 2)  establishment (for the last one)	[founding (for the first 2)  establishment (for the last one), létablissement]
stage or step	[stage or step, létape]
the step	[the step, létape]
step	[step, létape, pas, pas, étape, étape]
military staff	[military staff, létatmajor]
staff	[staff, létatmajor, personnel, personnel]
the ethics	[the ethics, léthique]
ethics	[ethics, léthique]
enhancement	[enhancement, léthique]
l'etoile (no change as it is a place in paris)	[l'etoile (no change as it is a place in paris), létoile]
star	[star, létoile, vedette, vedette, étoile, étoile]
the star	[the star, létoile]
abroad	[abroad, létranger]
the study	[the study, létude]
the evacuation	[the evacuation, lévacuation]
evacuation	[evacuation, lévacuation]
assessment	[assessment, lévaluation, évaluation, évaluation]
the evaluation	[the evaluation, lévaluation]
levi-strauss	[levi-strauss, lévistrauss]
lévi-strauss	[lévi-strauss, lévistrauss]
evolution	[evolution, lévolution, évolution, évolution]
the evolution	[the evolution, lévolution]
levrier	[levrier, lévrier]
greyhound	[greyhound, lévrier]
the event	[the event, lévénement]
bishop	[bishop, lévêque, évêques, évêques]
the bishop	[the bishop, lévêque]
the island	[the island, lîle]
ile-de-france	[ile-de-france, lîledefrance, îledefrance, îledefrance]
l'ile-de-france	[l'ile-de-france, lîledefrance]
the eye	[the eye, lœil]
m	[m, m]
my	[my, ma, mes, mes, mon, mon]
mac	[mac, mac]
machine	[machine, machine, machines, machines]
machines	[machines, machines]
macedonia	[macedonia, macédoine]
madagascar	[madagascar, madagascar]
madam	[madam, madame]
mrs.	[mrs., madame]
madeleine	[madeleine, madeleine]
madonna	[madonna, madonna]
madrid	[madrid, madrid]
mafia	[mafia, mafia]
shop	[shop, magasin]
store	[store, magasin, stocker, stocker]
magazine	[magazine, magazine]
magazines	[magazines, magazines]
maghreb	[maghreb, maghreb]
magic	[magic, magic, magie, magie, magique, magique]
magical	[magical, magie]
magistrates	[magistrates, magistrats]
magistrate	[magistrate, magistrats]
magma	[magma, magma]
magnificient	[magnificient, magnifique]
magnificent	[magnificent, magnifique]
magnetic	[magnetic, magnétique, magnétiques, magnétiques]
magritte	[magritte, magritte]
muhammad	[muhammad, mahomet, mohamed, mohamed, muhammad, muhammad]
mohammed	[mohammed, mahomet, mohammed, mohammed]
mahomet	[mahomet, mahomet]
may	[may, mai, may, may, puissent, puissent]
shirt	[shirt, maillot]
sports jersey	[sports jersey, maillot]
hand	[hand, main]
labour force	[labour force, maindœuvre]
manpower	[manpower, maindœuvre]
labor	[labor, maindœuvre]
maine (place name)	[maine (place name), maine]
maine	[maine, maine]
hands	[hands, mains]
maintenance	[maintenance, maintenance, maintien, maintien]
now	[now, maintenant, now, now]
maintained	[maintained, maintenu, maintient, maintient]
mayor	[mayor, maire]
